input,ideal
"President Barack Obama invited the Super Bowl champion New England Patriots to the White House on Thursday - but couldn't help but get one last deflategate joke in. The president opened his speech on the South Lawn by remarking 'that whole (deflategate) story got blown out of proportion,' referring to an investigation that 11 out of 12 footballs used in the AFC Championship game were under-inflated. But then came the zinger: 'I usually tell a bunch of jokes at these events, but with the Patriots in town I was worried that 11 out of 12 of them would fall flat.' Scroll down for video . Boo! Hiss! President Barack Obama elicited groans and a thumbs down from head coach Bill Belichick after cracking a deflategate joke while honoring the Super Bowl champion New England Patriots . Obama also quipped that he wished Chicago could learn something from Boston's championship-winning ways . Disapproval rating: Head coach Bill Belichick gives the thumbs down after Obama cracked a de-flate gate joke that left the whole team groaning . Obama received a custom jersey and a custom football from the team at the White House on Thursday . The Patriots assembled behind him groaned. Coach Bill Belichick, who is notoriously humorless, responded by giving the president a thumbs down. Obama was flanked by Belichick and billionaire Patriots owner Bob Kraft. Missing from the occasion, though was the Super Bowl MVP and the team's biggest star - Tom Brady. A spokesman for the team cited 'prior family commitments' as the reason Brady, 37, didn't attend the ceremony. Sports commentators, including retired football great Boomer Esiason, speculated that Brady snubbed Obama because he's from the 'wrong political party.' The superstar athlete has been to the White House before. He does have three other Super Bowl rings, afterall. But all the prior championships were under the Bush Administration. February's win was the first for the Patriots since Obama took office. Brady has also met Obama at least once before, as well. He was pictured with the then-US Senator  at the 2005 White House Correspondents dinner. Showoffs: The New England Patriots gathered the team's four Super Bowl trophies won under Coach Bill Belichick (right, next to President Barack Obama). Brady won his fourth Super Bowl ring in February - and his first since President Obama took office . Tom Brady met President Barack Obama at least once. He is pictured here with the then-US Senator and rival quarterback Donovan McNabb in 2005 . It's not clear what Brady's prior commitment was. His supermodel wife Gisele Bündchen, usually active on social media, gives no hint where the family is today if not in Washington. Brady led the Patriots to his fourth Super Bowl victory in February after defeating the Seattle Seahawks 28-24. Despite his arm and movement being somewhat diminished by age, Brady's leadership and calm under pressure also won him Super Bowl MVP - his third. Whatever is taking up Brady's time this week, he made time next week to be ringside at the Floyd Mayweather Jr.-Manny Pacquiao fight in Las Vegas next weekend. According to Sport Illustrated, Brady appealed directly to CBS president Les Moonves for tickets to the much-touted matchup. Patriots tight end Rob Gronkowski couldn't help but mug for the camera as the Commander in Chief gave a speech . Obama walks with billionaire Patriots owner Bob Kraft and coach Bellichick to the speech . Secretary of State John Kerry, a former Massachusetts US Senator, greets Belichick's girlfriend Linda Holliday at the ceremony . Brady went to the White House to meet President George W Bush after winning the Super Bowl in 2005 and in 2004. He's not going to be there this year . Patriots players Julian Edelman and Danny Amendola snap pics in the White House before meeting President Barack Obama on Thursday .",Brady cited 'prior family commitments' in bowing out of meeting with Obama . Has been to the White House to meet President George W. Bush for previous Super Bowl wins .
"Rangers have promised to probe claims Mike Ashley has grabbed control of the club's badges. Reports emerged on social media on Thursday afternoon suggesting the Newcastle United owner was now the official owner of the Light Blues trademarks - including the 'Ready' badge and mascot Broxi Bear. The Sports Direct tycoon had been given security over the icons and logos as part of the £5million loan handed to the previous Gers board in January. Rangers have promised to probe claims Mike Ashley has grabbed control of the club's badges . Reports emerged  suggesting the Newcastle  owner was now the official owner of the Light Blues trademarks . But now Dave King's new regime have promised a speedy investigation after documents appeared on the government-run Intellectual Property Office (IPO) website showing the club's trademarks were now controlled by SportsDirect.com Retail Ltd. In a statement a club spokesman said: 'The board is currently conducting a review of all contractual documentation but this particular issue has become a matter of urgency.' News that Ashley has seized hold of more treasured assets will worry the Ibrox faithful. The Londoner is already vastly unpopular after grabbing hold of a 75 per cent share of the club's retail income with his loan deal. Dave King's new regime have promised a speedy investigation into the claims surrounding Ashley . The IPO site confirm the transfer from Rangers Football Club Ltd to Sports Direct was fully assigned on March 25 - less than three weeks after former chief executive and Ashley ally Derek Llambias and finance director Barry Leach, a former Sports Direct executive, were removed at a general meeting called by King. Yet Interim chairman Paul Murray announced two days later that the new board had held 'no discussions with Mike Ashley or Sports Direct'. Rangers announced last week that if they gain promotion to the Premiership, they will have to pay Newcastle £500,000 as part of the deal which saw five Magpies youngsters move to Ibrox on loan. Ashley was given security over the icons and logos as part of the £5m loan handed to the previous board .",Reports emerged on social media suggesting Mike Ashley was now the official owner of the Light Blues trademarks . Rangers have promised to investigate the claims . Ashley was given security over the icons and logos as part of the £5m loan .
"(CNN)He was known as the American mouthpiece of al Qaeda, speaking against his native country on behalf of a terrorist organization that's devoted blood and resources to attacking it. But not anymore. The White House announced Thursday that Adam Gadahn, 36, was killed in January in a U.S. government counterterrorism operation. Neither he nor Ahmed Farouq -- another U.S. citizen and al Qaeda operative who died in what the White House said was ""likely a separate"" operation -- was specifically targeted, according to the statement. Warren Weinstein, a U.S. citizen who was abducted by al Qaeda in Pakistan in 2011, died along with another hostage, Italian Giovanni Lo Porto, in the attack that killed Farouq, according to the White House. White House: U.S. hostage killed in strike on al Qaeda . While he wasn't one of al Qaeda's top leaders, Gadahn was one of its most prominent members, given his many statements on behalf of the organization. Also known as Azzam the American, he was born in 1978. His parents changed their name from Pearlman to Gadahn after their marriage. He grew up on a farm in rural California and at age 18 moved in with his paternal grandparents, who were Jewish. He converted to Islam in 1995 and left the United States for Pakistan three years later. His father said Gadahn last contacted the family in 2002. A former al Qaeda member who later grew disillusioned with the group told CNN terrorism analyst Paul Cruickshank that he was tasked with greeting Gadahn at Peshawar airport in September 1998. Gadahn, who'd just just turned 20, had taken flights from the United States to London, then on to Karachi and Peshawar. The former operative planned to take Gadahn to a pizzeria after he landed, before accompanying him by bus to al Qaeda's encampments in Afghanistan. But Gadahn told him he'd been longing for some Afghan food, so they went to an Afghan restaurant instead before setting out on the road. The former operative said that after Gadahn joined al Qaeda, he was known as Abu Suhayb. In the years after 9/11, Gadahn rose through the ranks in the tribal areas of Pakistan, becoming its chief official English-language propagandist. He emerged in the mid-2000s on al Qaeda videos, including ones threatening attacks on Los Angeles and Melbourne, Australia. At first he was disguised. Sometimes he spoke in English, but in other videos he spoke in Arabic. He urged Muslims to target American, Western and Jewish interests with hopes of toppling the regime in Pakistan, according to SITE, a group that monitors terrorists and terror activity online. A federal grand jury in California indicted Gadahn in 2006 for treason and material support to al Qaeda, charges related to his alleged involvement in terrorist activities that included ""providing aid and comfort"" and other services to al Qaeda, the FBI said. He was among the FBI's ""Most Wanted Terrorists."" In 2007, he appeared on another al Qaeda video in which he warned America to end its involvement in the affairs of predominantly Muslim countries. ""Your failure to heed our demands ... means that you and your people will ... experience things which will make you forget about the horrors of September 11, Afghanistan and Iraq and Virginia Tech,"" he said, the last reference being to the mass shooting at the Virginia university in 2007. In separate videos over the years, he criticized President George W. Bush and President Barack Obama, whom he called ""a devious, evasive and serpentine American president with a Muslim name."" He also addressed his Jewish ancestry and tore up his U.S. passport on camera. Gadahn appeared in videos commemorating the 9/11 attacks, some which included al Qaeda leader Ayman al-Zawahiri. He urged Muslims in the United States to stage their own lone-wolf attacks. ""America is absolutely awash with easily obtainable firearms,"" he said. ""You can go down to a gun show at the local convention center and come away with a fully automatic assault rifle without a background check and most likely without having to show an identification card. So what are you waiting for?"" In other videos, he called Nidal Hasan, the Army officer sentenced to death in the 2009 shootings at Fort Hood, Texas, ""the ideal role model for every repentant Muslim in the armies of the unbelievers and apostate regimes,"" and praised the 2012 killing of U.S. Ambassador Chris Stevens in Benghazi, Libya. His final video was posted online in September 2014 by al Qaeda media wing al Sahab. He called for Muslims to work to overthrow governments in Saudi Arabia and Pakistan. Cruickshank said Gadahn had begun to play an increasingly prominent institutional role inside al Qaeda. Among the documents recovered from Osama bin Laden's compound in Abbottabad after bin Laden's death was a 2011 letter from...","In his final known video, Adam Gadahn called for governments of Pakistan and Saudi Arabia to be overthrown . He was raised in California and said he was of Jewish ancestry . He converted to Islam in 1995, left U.S. in 1998 and joined al Qaeda, becoming a spokesman ."
"They were a hit together at Liverpool on the pitch during the 1990s and it seems that John Barnes and Jamie Redknapp have reproduced another smash off it. The pair teamed up to perform a rendition of The Sugarhill Gang classic Rapper's Delight for Sky's upcoming series of A League Of Their Own. In a spoof sketch of Britain's Got Talent, Barnes appears dressed in a black hoodie and jeans accompanied with a black hat, a gold chain and sunglasses, much to the amusement of the audience. John Barnes (centre) and Jamie Redknapp rap on Sky's upcoming series of A League Of Their Own . Barnes rapped 1979 classic Rapper's Delight as part of spoof sketch called Britain's Got Sporting Talent . The 51-year-old was supported by backing dancers as he dazzled the crowd with The Sugarhill Gang classic . Barnes (centre) was joined halfway through his performance by former Liverpool team-mate Redknapp . Redknapp was equally adept on the mic as the pair entertained the audience with their rendition of the rap . Redknapp (left) and Barnes played together at Liverpool for six years between 1991 and 1997 . Supported by two backing dancers, the 51-year-old dazzles the crowd for a minute of lyricism before introducing Redknapp halfway through his performance. Matching Barnes in appearance, the Sportsmail columnist is also equally adept on the mic as the pair share the spotlight for the remainder of the 1979 classic. It's not the first time that Barnes has tried his hand in the music industry. Ahead of Liverpool's 1988 FA Cup final against Wimbledon, the former midfielder was part of the Merseysiders'Anfield Rap song, which reached No 3 in the UK singles charts. Barnes had even better success with England's 1990 World Cup song World in Motion by New Order - where his timeless rap helped the tune reach No 1. Barnes (right) reached No 1 in the UK with England's 1990 World Cup song World in Motion by New Order .",John Barnes appeared as a guest on Sky's A League Of Their Own show . The 51-year-old rapped 1979 classic Rapper's Delight as part of a sketch . Barnes' ex-Liverpool team-mate Jamie Redknapp joins in halfway through . Barnes featured on Anfield Rap and World in Motion in the past .
"Crucible thoroughbreds John Higgins and Graeme Dott led the Scottish charge on Sunday at the Betfred World Championship. Four-time winner Higgins impressed with a 10-5 first-round victory over Robert Milkins, and looked to be approaching the form that last saw him take the title four years ago. The 39-year-old fired breaks of 77, 75, 69 and a clinching 106 in the second session as he coasted home against Gloucester potter Milkins, who took the match beyond its evening interval but was thoroughly outplayed. John Higgins plays a shot during his match against Robert Milkins during the Betfred World Championships . Milkins said of his conqueror: 'It's going to take a good man to beat him on that form. 'He's playing really good stuff. I think I did well to get five frames.' Dott, unseeded this year but a proven Crucible class act and champion in 2006, was a 10-8 winner earlier as he ousted Ricky Walden. Higgins has sprung back to competitive form level this year, notably in taking the Welsh Open title in February to end a two-and-a-half-year major trophy drought. He had openly expressed fears his days as a winner were over, but Higgins is daring to dream of a fifth world title. He said: 'I'm feeling relief and pride to beat Robert because he's a dangerous player. I knew I'd lost my last four matches to him. 'I thought I hit the ball well. I missed a few but I felt good in amongst them.' Asked directly whether he was a potential champion, Higgins initially said: 'Nah. There's more and more contenders out there. I probably know what it takes to win it but there's more favoured players than me.' But the desire is there, and unmistakably he does have one eye on the trophy. Higgins added: 'It would be amazing if I could win it and go level with somebody like Ronnie O'Sullivan on five titles. That would be beyond my wildest dreams. The fire is still there. 'I've had a few sleepless nights thinking I'd never get back into the winners' circle. Luckily it happened at the Welsh Open and that's given me a bit of a boost. 'You doubt yourself definitely, especially in dark times, but now hopefully there's some good times. 'Just to win this again would be incredible. Ronnie has probably outstripped me, winning more tournaments and making more century breaks, and he's obviously chasing Stephen Hendry's records. 'But there's perhaps Hendry, Ronnie and (Steve) Davis before me winning most. If it's just those three ahead of me I can't complain. It's not a bad three to have in front of you.' Graeme Dott plays a shot during his match against Ricky Walden during the Betfred World Championships .",John Higgins beats Robert Milkins 10-5 to reach second round . Higgins says he would love to challenge for World title again . But the 39-year-old admits there are many more favoured players . Graeme Dott sees off Ricky Walden 10-8 .
"Arsenal will play in their yellow and blue away strip for the FA Cup final against Aston Villa on May 30 - and the history books points towards that being a good thing for the Gunners. Tim Sherwood's Villa side won the coin toss ahead of the final next month - which allows the winner to select club colours in the event of a clash of strip. They picked their claret and blue home kit for the Wembley showpiece and therefore guaranteed that they will have worn the same strip for every round of the competition this season. Alexis Sanchez (far right) is congratulated  after scoring Arsenal's semi-final winner against Reading . Arsenal players celebrate winning the 1979 FA Cup final at Wembley after beating Manchester United 3-2 . The Arsenal starting XI line up ahead of their FA Cup final against Liverpool on May 8, 1971 . But that won't phase Arsene Wenger's side at all, with a creditable record of three cup final wins in five appearances in the yellow and blue strip, giving Gunners fans room for optimism as they look to retain the FA Cup. Arsenal last wore yellow in the 1980 FA Cup final where they narrowly lost to London rivals West Ham United, but a year earlier donned the same colours as they got the better of Manchester United in a five-goal thriller at the home of English football. The Gunners also won the competition in 1950 and 1971 while wearing yellow, on both occasions seeing off Liverpool. Arsenal players celebrate after Charlie George scored his side's winner against Liverpool in 1971 . Arsenal skipper Joe Mercer is held up by his team-mates as they toast their victory over Liverpool in 1950 . Fabian Delph (middle) is mobbed by his Villa team-mates after he scored the winner against Liverpool . Interestingly though, despite Villa winning the pre-match coin toss, Arsenal will be classed as the home side for the final as this is decided purely alphabetically. The kick-off time for the clash - which will be shown on both BBC One and BT Sport 1 - has also been confirmed as 5.30pm on Saturday May 30, with both clubs receiving an equal allocation of 25,000 tickets. These tickets will be classified into four different pricing bands - £50, £70, £90 and £120. In addition to the 50,000 tickets split between the two clubs involved, approximately 20,000 tickets also will be distributed to volunteers throughout the football family which most notably includes counties, leagues, local clubs and charities. And 17,000 tickets will also be used by Club Wembley members, with the FA Cup final part of their membership package.",Arsenal face Aston Villa in the FA Cup final at Wembley on May 30 . Tim Sherwood's side won the toss to decide which kit they'll wear . Villa chose their claret and blue home strip for the FA Cup showdown . Arsenal will play in their yellow and blue away kit . The Gunners have won three of the five finals played in the kit .
"Philippe Coutinho fired Liverpool into the FA Cup semi-finals and made it a night to remember for Jordan Henderson. Liverpool’s captain provided the 70th-minute assist for Coutinho to break Blackburn Rovers’ resistance and secure a 1-0 win that sets up a Wembley date against Aston Villa a week on Sunday. It has been a dramatic 24 hours for Henderson, as his partner Beccy gave birth to their second daughter, Alba. The 25-year-old had not slept the night before the game. Philippe Coutinho hit the only goal of the game as Liverpool advanced to the FA Cup semi-finals . Kolo Toure (left) embraces new father Jordan Henderson on a day to remember for the Liverpool captain . The Brazilian playmaker put in a real all-action display for his team. As well as scoring the winner, he had the most shots, most touches, the highest duel success, highest dribble completion, and the most tackles. Henderson said: ‘Philippe has a great football brain. It’s the easy bit giving it to him. Another bit of brilliance wins the game and gives everyone a lift.’ Liverpool boss Brendan Rodgers revealed Henderson told him there was no chance he was missing the fixture once the baby had arrived. Rodgers explained: 'His wife had a second child during the night so he had to go away, hadn't slept so much, travelled all the way back again and put in the performance he did tonight. It was a real captain's performance. 'He said to me, ""Boss, as soon as the baby's out, I'll be coming back"".' Brendan Rodgers (right) looks on as his side navigated their way through a tricky tie at Ewood Park . Liverpool celebrate a much-needed victory which sets up a Wembley date with Aston Villa on Sunday week . Coutinho has popped up with some important goals this season — five of his six strikes have earned Liverpool results (four wins and a draw). Rodgers thought the much-publicised review meeting he held with Liverpool's players on Sunday paved the way for them to get back to winning ways in the FA Cup. The Reds boss had denied a report that an internal meeting following the 4-1 defeat to Arsenal had descended into crisis talks and his players responded on the pitch by booking their spot in the FA Cup semi-finals at Wembley with a hard-fought 1-0 replay victory over Blackburn. 'There was a lot made of that,' he said. 'I'm a coach who speaks openly to players. Part of the coaching philosophy for me is about reviewing and reflecting performance. 'It's something that we've done all year when we were winning games. That provides us the lever to move forward - how can we be better, how can we improve? 'Because we lost a couple of games, there's a lot been made of that meeting but that review was very, very important in how we want to work. If you don't review and analyse your performance how can you get better?'","Coutinho hit the only goal of the game as Liverpool beat Blackburn . They will meet Aston Villa in the semi-finals a week on Sunday . Liverpool skipper Henderson had not slept the night before the game as his wife gave birth to his second daughter . Boss Brendan Rodgers revealed Henderson had no thoughts about missing the match . 'He said to me, ""Boss, as soon as the baby's out, I'll be coming back"",' Rodgers explained ."
"Kurt Cobain, John Lennon, Freddie Mercury. Every rock band has a face. But what if they were seen as one? In an unusual project by men's face product company West Coast Shaving, each member of history's most esteemed rock bands are blended into one. Scroll down for video . The face of rock: The members of 30 legendary bands are blended into 30 single faces . Some band members in particular shine through. At first glance, the photo for The Beatles looks like a blurry picture of a young Paul McCartney. Kurt Cobain is clearly visible in Nirvana's merged shot. And the features of Eddie Van Halen dominate the image of Van Halen. John Lennon (second left) is touted as the 'face' of The Beatles because he took the lead on many songs. But fans, and many others, will know Ringo (far left), George (second right) and Paul (right) were equally pivotal . The Rolling Stones: These five faces are some of the most distinctive in the genre of rock . Ireland's rockers: With raspy vocals and a healthy helping of leather, U2 made waves in the rock world . Red hot: The Chilli Peppers also earned a spot in the list of 30 top rock bands . The English rock movement: Led Zeppelin (left) and Black Sabbath (right) flew Britain's flag . Guns N' Roses: Beneath all that hair are five easily recognizable faces to rock fans . Others not so much. U2 is a bizarre mix of the Irish bunch, as is the Rolling Stones picture. And aside from a hint of Billy Joe Armstrong's eyeliner, Green Day also blend into something somewhat unrecognizable. Publishing the project, West Coast Shaving wrote in ablog post: 'We wanted to include KISS with makeup, however the result was just a white and black mess. 'As for ZZ Top, that image was simple a mashup of sunglasses and facial hair.'","Members of 30 rock band members merged into one face each . Beatles look like Paul McCartney, Nirvana look like Kurt Cobain . U2, Rolling Stones and Green Day are a bizarre blend ."
"A young mother has spoken of her humiliation after a dental assistant apparently removed her nine-month-old son from her arms without asking while she was breastfeeding him in the dentist's chair. Tayler Chaice Buzbee was forced to make an emergency appointment at an Aspen Dental facility in Alabama on Friday morning after developing agonizing toothache which would not go away. But after calling the dentist's office, she was informed that the only available appointment was in just 20 minutes - meaning that she had no time to find a babysitter for her infant son, Attley. Instead, Tayler was assured by employees that she could bring her baby to the facility. The pair turned up shortly after - but midway through the appointment, Attley started to create a fuss. Upset: Tayler Chaice Buzbee has spoken of her humiliation after a dental assistant apparently removed her baby son, Attley (pictured with Tayler) from her arms while she was breastfeeding him in the dentist's chair . 'I don't nurse in public, and I never have because I hear these stories about people being shamed... I don't do well with being confronted, so I usually find another room to go to,' Tayler toldAL.com. But she said that, in this instance, she had no option but to breastfeed Attley - a gorgeous dark-haired baby with big brown eyes and a cheeky grin - because he was hungry and causing a scene. The hygienists apparently did not mind Tayler nursing her son - and one even offered to halt the treatment and return when she was finished. But Tayler declined and continued to be treated. A short while later, the dentist and another female employee came into the room. The latter reportedly told Tayler that she was not permitted to breastfeed her baby in the dentist's office. Then, while the dentist examined Tayler's teeth, the employee removed Attley from her arms - without permission and before he had finished feeding from his mom - because he was 'in the way'. She then placed him in a stroller, it is reported. Tayler, who was shocked, left the office soon after. Controversy: While the dentist examined Tayler's teeth, a female employee removed Attley from her arms - without permission and before he had finished feeding from his mom - because he was 'in the way' Facility: Tayler had made the emergency appointment at the Aspen Dental facility (file picture) in Alabama on Friday after developing agonizing toothache. She was left 'humiliated' after the breastfeeding incident . Speaking to the news site, the Marshalls employee said: 'I have never felt so humiliated in my life.' She added: 'That was my biggest concern. Don't take him out of my arms. It was a situation where I was humiliated, I was crying, and I felt just embarrassed to be there.' In a statement, Aspen Dental Management Inc apologized to Tayler. 'No nursing mother should ever be made to feel uncomfortable while feeding her child,' representative Kasey Pickett told AL.com. She added that the company is investigating the incident. It is not the first time a new mother has been 'shamed' for breastfeeding in public. Mother and son: Despite the female employee's actions, the dental hygienists apparently did not mind Tayler (back) nursing her son (front) - and one even offered to halt the treatment and return when she was finished . 'Shamed': It is not the first time a new mother like Tayler (pictured, left, with Attley) has been 'shamed' for breasfeeding in public. In January, 24-year-old mother Alanna Panas claimed she was kicked out of a casino in Berlin, Maryland, for breastfeeding her seven-week-old daughter (right, with Alanna) in the lobby . In January, 24-year-old mother Alanna Panas claimed she was kicked out of a casino in Berlin, Maryland, for breastfeeding her seven-week-old daughter in the lobby. Alanna, a mother-of-one from Mechanicsburg, Pennsylvania, said she was thrown out by security at the Casino at Ocean Down after they told her she and daughter Lilly were a 'security risk'. She said she had intended to feed her daughter in her car but did not have time to get the keys and as it was a cold, rainy evening, the casino lobby was her only choice,USA Today reported. Last year, an international study found mothers are made to feel 'ashamed' when they breastfeed in public - while many are put off breastfeeding by negative comments from health workers. Mothers reported being stared at or tutted at and felt as if they were seen as 'hippies' or 'weirdos'. Others said they wanted to breastfeed after 12 months but feared public disapproval. Negative emotions are also common for new mothers who are trying to breastfeed in hospital soon after giving birth. These are due to staff actions and comments, the research found. Dr Gill...","Mother-of-one Tayler Chaice Buzbee called Aspen Dental with toothache . She was told only available appointment at the facility was in 20 minutes . Had no time to find babysitter for baby son, Attley, so brought him along . Started breastfeeding the nine-month-old in chair when he created a fuss . But soon after, female employee 'took him out of her arms without asking' Woman 'placed him in his stroller, saying breastfeeding was not allowed' 'I was humiliated, crying, and I felt embarrassed to be there,' said Tayler . Aspen Dental has since apologized to Tayler and launched investigation ."
"Police investigating the theft of 12 prize-winning guinea pigs from a top breeder have not ruled out - a rival competitor. Heartbroken owner Tony Tancock believes only an expert could have targetted the dozen show-quality guinea pigs stolen leaving more ordinary rodents behind. Tony, 56, has won accolades for his specially-bred cavies and has shown them off at events around the country. But he was devastated after a thief snuck into an outbuilding at his home in Crediton, Devon, to steal his prized pets leaving eight behind. Robbed: Police investigating the theft of 12 prize-winning guinea pigs from top breeder Tony Tancock (pictured) have not ruled out - a rival competitor . Sabotage: Heartbroken owner Tancock (pictured) believes only an expert could have targetted the dozen show-quality guinea pigs . He said: 'They knew exactly what they were looking for. They took two tortoiseshells, two black and two brown, all short-haired guinea pigs that besides being show-quality, were also beloved family pets. 'They left six which were not show quality, plus two other show ones.' Tony yesterday issued a desperate plea to the thief to return the treasured pets to him. He said: 'Please bring them back. I miss them dearly and am really worried about them. I would like to know they didn't just get bumped off. They were priceless to me.' Guinea pig fancying took off in the 1890s but a fascination for the furry animals began when they were introduced to Britain from South America in the 1500s. They are still bred for their meat in several countries on the South American continent and are a particular delicacy in the Andes. The biggest event in a guinea pig fanciers calendar - the Bradford Championship Show - draws hundreds of participating critters, competing in categories separated according to breeds. But Tony said that unless his guinea pigs are returned he will not be able to appear at any shows this year. A cavy expert has warned the thefts could be a hate crime from someone with a score to settle. But Bryan Mayoh, chairman of the British Cavy Council, expressed shock at the suggestion a fellow competitor could have deliberately targeted Tony. Heart-broken: Mr Tancock was devastated after a thief snuck into an outbuilding at his home in Crediton, Devon, to steal his prized pets leaving eight behind . He said: 'I would suggest that a personal dispute is a far more likely explanation than that some person was envious of his cavies. 'Real fanciers know how important cavies are to other fanciers and would not dream of trying to steal animals from them. 'In addition, it is very likely that someone attempting to remove cavies at a show would be noticed by other fanciers. 'In 25 years of showing I never had a cavy stolen, nor have any of my fancier friends.' 'But my advice would be to be vigilant of anyone behaving suspiciously at a show and ensure that garden sheds in which cavies are kept at home are padlocked when the owner is absent.' Police say they are investigating the thefts and asked anyone with information to contact them on 101.","Heart-broken Tony Tancock, 56, has won prizes for specially-bred guinea pigs . A thief stole a dozen of his best from his home in Devon and left eight behind . Says only an expert could have targetted them and left ordinary ones behind . 'They knew exactly what they were looking for,' a devastated Tancock claimed ."
